,vehicle_id,time,x,y
98591,flow_0.83,1553,485.39892137512606,-1.6
98594,flow_0.86,1553,32.887721217190844,-1.6
98596,flow_1.84,1553,485.3986310359109,-4.8
98597,flow_1.85,1553,283.4152117051741,-8.0
98657,flow_0.83,1554,485.39892137512606,-1.6
98660,flow_0.86,1554,43.59263415071182,-1.6
98662,flow_1.84,1554,485.3989205545382,-4.8
98663,flow_1.85,1554,298.41607381178244,-8.0
98721,flow_0.83,1555,485.39892137512606,-1.6
98724,flow_0.86,1555,55.76551523883827,-1.6
98726,flow_1.84,1555,485.3989205545382,-4.8
98727,flow_1.85,1555,313.390310324546,-8.0
98785,flow_0.83,1556,485.39892137512606,-1.6
98788,flow_0.86,1556,69.65484109291592,-1.6
98790,flow_1.84,1556,485.3989205545382,-4.8
98791,flow_1.85,1556,328.2627879849646,-8.0
98848,flow_0.83,1557,485.39892137512606,-1.6
98851,flow_0.86,1557,83.69092718777281,-1.6
98853,flow_1.84,1557,485.3989205545382,-4.8
98854,flow_1.85,1557,342.795291328056,-8.0
98911,flow_0.83,1558,485.39892137512606,-1.6
98914,flow_0.86,1558,97.57884955751994,-4.8
98916,flow_1.84,1558,485.3989205545382,-4.8
98917,flow_1.85,1558,358.2720149696761,-8.0
98974,flow_0.83,1559,485.39892137512606,-1.6
98977,flow_0.86,1559,111.95406908940129,-4.8
98979,flow_1.84,1559,485.3989205545382,-4.8
98980,flow_1.85,1559,372.9495678561437,-8.0
99037,flow_0.83,1560,485.39892137512606,-1.6
99040,flow_0.86,1560,125.35430254939796,-4.8
99042,flow_1.84,1560,485.3989205545382,-4.8
99043,flow_1.85,1560,387.2875742199501,-8.0
99099,flow_0.83,1561,485.39892137512606,-1.6
99102,flow_0.86,1561,139.85612337940944,-4.8
99104,flow_1.84,1561,485.3989205545382,-4.8
99105,flow_1.85,1561,401.8210413253044,-8.0
99161,flow_0.83,1562,485.39892137512606,-1.6
99164,flow_0.86,1562,154.11070378847776,-4.8
99166,flow_1.84,1562,485.3989205545382,-4.8
99167,flow_1.85,1562,417.1469445312944,-8.0
99223,flow_0.83,1563,485.39892137512606,-1.6
99226,flow_0.86,1563,167.91893964214393,-1.6
99228,flow_1.84,1563,485.3989205545382,-4.8
99229,flow_1.85,1563,431.92091098141947,-8.0
99285,flow_0.83,1564,485.39892137512606,-1.6
99288,flow_0.86,1564,182.2988434399145,-1.6
99290,flow_1.84,1564,485.3989205545382,-4.8
99291,flow_1.85,1564,445.8584200942893,-4.8
99347,flow_0.83,1565,485.39892137512606,-1.6
99350,flow_0.86,1565,196.7733014802699,-1.6
99352,flow_1.84,1565,485.3989205545382,-4.8
99353,flow_1.85,1565,460.2173215932768,-4.8
99409,flow_0.83,1566,485.39892137512606,-1.6
99412,flow_0.86,1566,210.82663411543663,-1.6
99415,flow_1.84,1566,485.3989205545382,-4.8
99416,flow_1.85,1566,470.0762230922642,-4.8
99480,flow_0.83,1567,485.39892137512606,-1.6
99483,flow_0.86,1567,224.77136255554132,-1.6
99486,flow_1.84,1567,485.3989205545382,-4.8
99487,flow_1.85,1567,475.8400518189211,-4.8
99551,flow_0.83,1568,485.39892137512606,-1.6
99554,flow_0.86,1568,238.9524290495924,-1.6
99557,flow_1.84,1568,485.3989205545382,-4.8
99558,flow_1.85,1568,477.57889072998034,-4.8
99622,flow_0.83,1569,485.39892137512606,-1.6
99625,flow_0.86,1569,252.4078961530492,-1.6
99628,flow_1.84,1569,485.3989205545382,-4.8
99629,flow_1.85,1569,477.866814014756,-4.8
99695,flow_0.83,1570,485.39892137512606,-1.6
99698,flow_0.86,1570,266.2356041900025,-1.6
99701,flow_1.84,1570,485.3989205545382,-4.8
99702,flow_1.85,1570,477.89455661212185,-4.8
99768,flow_0.83,1571,485.39892137512606,-1.6
99771,flow_0.86,1571,279.76670663727265,-1.6
99774,flow_1.84,1571,485.3989205545382,-4.8
99775,flow_1.85,1571,477.89662107914745,-4.8
99840,flow_0.83,1572,485.39892137512606,-1.6
99843,flow_0.86,1572,293.31566851217366,-1.6
99846,flow_1.84,1572,485.3989205545382,-4.8
99847,flow_1.85,1572,477.8974376744202,-4.8
99911,flow_0.83,1573,485.39892137512606,-1.6
99914,flow_0.86,1573,307.1566670355186,-1.6
99917,flow_1.84,1573,485.3989205545382,-4.8
99918,flow_1.85,1573,477.89783044086187,-4.8
99981,flow_0.83,1574,485.39892137512606,-1.6
99984,flow_0.86,1574,321.62514784132696,-1.6
99987,flow_1.84,1574,485.3989205545382,-4.8
99988,flow_1.85,1574,477.89783044086187,-4.8
100050,flow_0.83,1575,487.29610376840617,-1.4719851759419758
100053,flow_0.86,1575,335.8047547629604,-1.6
100056,flow_1.84,1575,487.48708195747895,-4.8
100057,flow_1.85,1575,477.89783044086187,-4.8
100117,flow_0.83,1576,490.47047233515633,-1.0185039521205264
100120,flow_0.86,1576,349.9432003371338,-1.6
100123,flow_1.84,1576,492.1356569191077,-4.8
100124,flow_1.85,1576,479.5535268816141,-4.8
100184,flow_0.83,1577,493.0571172226191,-0.6457164863866858
100187,flow_0.86,1577,364.1715115142793,-1.6
100190,flow_1.84,1577,498.34700793513184,-4.8
100191,flow_1.85,1577,483.3030787323425,-4.8
100251,flow_0.83,1578,493.9612611834663,-0.1015557692101034
100254,flow_0.86,1578,378.5495339943253,-1.6
100257,flow_1.84,1578,506.2497593588065,-4.8
100258,flow_1.85,1578,489.20451911777695,-4.8
100316,flow_0.83,1579,494.0205489121776,-0.0658733398930837
100319,flow_0.86,1579,392.2644454190085,-1.6
100322,flow_1.84,1579,515.4633966207374,-4.8
100323,flow_1.85,1579,496.9021474963039,-4.8
100380,flow_0.83,1580,494.0414218453332,-0.0533109264198038
100383,flow_0.86,1580,406.7920537024199,-1.6
100386,flow_1.84,1580,526.820382724084,-4.8
100387,flow_1.85,1580,506.0699769604435,-4.8
100443,flow_0.83,1581,494.0428477323615,-0.052452753671321
100446,flow_0.86,1581,420.3818156291777,-1.6
100449,flow_1.84,1581,539.5936994274715,-4.8
100450,flow_1.85,1581,517.2204552742334,-4.8
100505,flow_0.83,1582,494.0433211664248,-0.0521678165036123
100508,flow_0.86,1582,434.85714530664745,-1.6
100511,flow_1.84,1582,554.9237487933933,-4.8
100512,flow_1.85,1582,530.5166832558713,-4.8
